from,to,connection
JL,SU,1
JL,TTP,1
JL,EA,1
JL,CA,1
JL,USC,1
JL,N,2
MT,RCC,1
MT,VLC,1
MT,VZ,1
MT,LVCB,1
MT,SAP,1
MT,VCM,1
MT,Bu,2
ET,TTP,1
ET,AAP,1
ET,ETW,1
ET,LBA,1
ET,N,2
HK,VfB,1
HK,OST,1
HK,BST,1
HK,D,2
IVV,AK,1
IVV,RCC,1
IVV,IBF,1
IVV,CL,1
IVV,RRV,1
IVV,CSMT,1
IVV,Be,2
JN,GBL,1
JN,BKS,1
JN,KSPB,1
JN,SMSP,1
JN,P,2
SL,KAF,1
SL,Beylik,1
SL,IVC,1
SL,PSU,1
SL,US,2
MSP,BVM,1
MSP,DSC,1
MSP,BSBC,1
MSP,STM,1
MSP,DIT,1
MSP,GHO,1
MSP,CVB,1
MSP,S,2
HJ,VfBSL,1
HJ,VCS,1
HJ,N,2
HD,MTV,1
HD,BST,1
HD,D,2
KR,UA,1
KR,BA,1
KR,LBM,1
KR,US,2
LB,FVTM,1
LB,BST,1
LB,VCOB,1
LB,D,2
RK,OKN,1
RK,LPV,1
RK,LPK,1
RK,HL,1
RK,K,1
RK,SP,1
RK,F,2
LG,MTVJ,1
LG,BST,1
LG,D,2
