from,to,connection
JL,SU,1
JL,TTP,1
JL,EA,1
JL,CA,1
JL,USCM,1
MT,RCC,1
MT,VLC,1
MT,VZ,1
MT,LCVB,1
MT,SAP,1
MT,VCM,1
ET,TTP,1
ET,AA,1
ET,ETW,1
ET,LBA,1
HK,VfB,1
HK,OST,1
HK,BST,1
IVV,AK,1
IVV,RCC,1
IVV,IBF,1
IVV,CLJ,1
IVV,RRV,1
IVV,CSMT,1
JN,GBL,1
JN,BKS,1
JN,KSPB,1
JN,SSP,1
SL,KAF,1
SL,Beylik,1
SL,IVCONE,1
SL,PSU,1
MSP,BVM,1
MSP,DSC,1
MSP,BSBC,1
MSP,STM,1
MSP,DIT,1
MSP,GHO,1
MSP,CVBC,1
HJ,VfBSL,1
HJ,VCSK,1
HD,MTV,1
HD,BST,1
KR,UA,1
KR,BeziersA,1
KR,LBMNE,1
LB,FVTM,1
LB,BST,1
LB,VCOB,1
RK,OKN,1
RK,LPV,1
RK,LPK,1
RK,HL,1
RK,K,1
RK,SPallo,1
LG,MTVJug,1
LG,BST,1
JL,N,2
MT,BU,2
ET,N,2
HK,D,2
IVV,BE,2
JN,P,2
SL,US,2
MSP,S,2
HJ,N,2
HD,D,2
KR,US,2
LB,D,2
RK,F,2
LG,D,2
